Item,Qty,Designators,Manufacturer,Manufacturer Part Number,Description,Value,Footprint,Type,Fitted by,Mouser,Notes
1,13,C1 C2 C9 C10 C11 C12 C13 C15 C16 C17 C18 C19 C34,TDK,CGA3E1X7R1C105AC,Capacitor 1u 0603,1u,CAPC1608X100,SMD,Assembler,810-CGA3E1X7R1C105AC,
2,14,C3 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C35,Samsung Electro-Mechanics,CL10B104KB8NNNC,Capacitor 0.1uF 0603,0.1uF,CAPC1608X100,SMD,Assembler,,Any 0.1 uF X7R 0603 rated 16 V or more is fine
3,8,C4 C5 C6 C7 C8 C14 C20 C21,Samsung Electro-Mechanics,CL10A475KP8NNNC,Capacitor 4.7u 0603,4.7u,CAPC1608X100,SMD,Assembler,187-CL10A475KP8NNNC,
4,2,D1 D2,,,"LED, 0603",LED,LEDM1608X50,SMD,Assembler,,Any 0603 LED (e.g. green); 470 ohm from 3.3 V
5,1,D3,Nexperia,PMEG10010ELRX,"Schottky diode 1 A 100 V, SOD-123F",PMEG10010ELR,SOD3716X117,SMD,Assembler,771-PMEG10010ELRX,
6,1,J3,Hirose,DM3AT-SF-PEJM5(40),microSD socket,SDCARD_DM3AT-SF-PEJM5,microSD_HC_Hirose_DM3AT-SF-PEJM5,SMD,Assembler,798-DM3AT-SF-PEJM540,"Check: Mouser code ends in 40, Hirose's packaging variant"
7,6,R1 R4 R8 R9 R10 R11,Yageo,RC0603FR-0710KL,Resistor 10K 0603,10K,RESC1608X55,SMD,Assembler,603-RC0603FR-0710KL,
8,6,R2 R3 R20 R21 R22 R23,Yageo,RC0603FR-0710RL,Resistor 10 0603,10,RESC1608X55,SMD,Assembler,603-RC0603FR-0710RL,
9,2,R5 R6,Yageo,RC0603FR-07100RL,Resistor 100 0603,100,RESC1608X55,SMD,Assembler,603-RC0603FR-07100RL,
10,1,R7,Yageo,RC0603FR-071KL,Resistor 1K 0603,1K,RESC1608X55,SMD,Assembler,603-RC0603FR-071KL,
11,2,R12 R13,Yageo,RC0603FR-07470RL,Resistor 470 0603,470,RESC1608X55,SMD,Assembler,603-RC0603FR-07470RL,
12,5,R14 R15 R16 R17 R18,Yageo,RC0603FR-0747KL,Resistor 47K 0603,47K,RESC1608X55,SMD,Assembler,603-RC0603FR-0747KL,
13,1,R19,Yageo,RC0805FR-070RL,Resistor 0 0805,0,RESC2012X55,SMD,Assembler,603-RC0805FR-070RL,
14,1,U1,Lattice Semiconductor,ICE40HX4K-TQ144,"FPGA, iCE40 HX4K, TQFP-144",ICE40HX4K-TQ144,TSQFP50P2200X2200X160-144,SMD,Assembler,842-ICE40HX4K-TQ144,
15,1,U2,Microchip Technology,SST26VF080A-104I/SN,"SPI flash 8 Mbit, SOIC-8 (FPGA configuration)",SST26VF080A-104I/SN,SOP127P620X175-8,SMD,Assembler,579-26VF080A-104I/SN,
16,1,U3,Diodes Incorporated,APX803S00-29SA-7,"Reset supervisor 2.93 V, SOT-23",APX803S00-29SA-7,SOT95P230X117-3,SMD,Assembler,621-APX803S00-29SA-7,
17,1,U4,Diodes Incorporated,AP2114HA-3.3TRG1,"LDO 3.3 V, SOT-223",AP2114HA-3.3,SOT230P700X170-3,SMD,Assembler,621-AP2114HA-3.3TRG1,
18,1,U5,Diodes Incorporated,AP2114HA-1.2TRG1,"LDO 1.2 V, SOT-223",AP2114HA-1.2,SOT230P700X170-3,SMD,Assembler,621-AP2114HA-1.2TRG1,
19,6,U6 U7 U8 U9 U10 U14,Texas Instruments,SN74LVC8T245PWR,"Dual-supply octal transceiver, TSSOP-24",74LVC8T245,TSOP65P640X120-24,SMD,Assembler,595-SN74LVC8T245PWR,
20,1,U11,Toshiba,74LCX07FT,"Hex open-drain buffer, TSSOP-14",74LCX07,TSOP65P640X110-14,SMD,Assembler,757-74LCX07FTAE,Check: Mouser code adds a packaging suffix (AE)
21,1,U12,Toshiba,74VHCT125AFT,"Quad tri-state buffer, TSSOP-14",74VHCT125,TSOP65P640X110-14,SMD,Assembler,757-74VHCT125AFT,
22,1,X1,ECS Inc.,ECS-2333-100-BN-TR,Oscillator 10 MHz,ASE-xxxMHz,XTAL320X250X120-4,SMD,Assembler,520-ECS-2333-100-BNT,"Check: 10 MHz 3.3 V oscillator, 3.2 x 2.5 mm; Mouser code drops the -TR punctuation"
23,1,J2,,,"2x4 pin header, 2.54 mm",PROG,PinHeader_2x04_P2.54mm_Vertical,THT,Customer,,FPGA flash programming header
24,1,J4,,,"2x10 pin header, 2.54 mm",HPLA_PORT,PinHeader_2x10_P2.54mm_Vertical,THT,Customer,,Logic analyzer header (HP pod)
25,1,U13,,,"2x 1x24 female socket strips, 2.54 mm, rows 15.24 mm apart",Teensy4_1,DIP-48_W15.24mm_Socket,THT,Customer,,Socket for the Teensy 4.1 (Teensy fitted separately)
