Designator,Mid X,Mid Y,Layer,Rotation,Value,Package
C1,150.8000mm,-57.0023mm,Top,-90.000000,1u,CAPC1608X100
C2,170.6000mm,-117.3000mm,Top,-90.000000,1u,CAPC1608X100
C3,113.0000mm,-58.6000mm,Top,180.000000,0.1uF,CAPC1608X100
C4,149.6000mm,-106.7000mm,Top,180.000000,4.7u,CAPC1608X100
C5,140.7000mm,-106.7000mm,Top,180.000000,4.7u,CAPC1608X100
C6,146.4000mm,-106.7000mm,Top,0.000000,4.7u,CAPC1608X100
C7,137.4500mm,-106.7000mm,Top,0.000000,4.7u,CAPC1608X100
C8,144.3000mm,-69.4000mm,Top,0.000000,4.7u,CAPC1608X100
C9,158.5000mm,-90.8000mm,Top,0.000000,1u,CAPC1608X100
C10,158.4000mm,-80.2000mm,Top,0.000000,1u,CAPC1608X100
C11,144.3000mm,-70.8000mm,Top,0.000000,1u,CAPC1608X100
C12,148.1000mm,-70.3000mm,Top,90.000000,1u,CAPC1608X100
C13,151.1000mm,-70.3000mm,Top,90.000000,1u,CAPC1608X100
C14,143.5000mm,-100.3000mm,Top,0.000000,4.7u,CAPC1608X100
C15,129.0000mm,-83.3000mm,Top,180.000000,1u,CAPC1608X100
C16,129.0000mm,-85.3000mm,Top,180.000000,1u,CAPC1608X100
C17,143.5500mm,-98.9000mm,Top,0.000000,1u,CAPC1608X100
C18,129.5000mm,-93.3000mm,Top,180.000000,1u,CAPC1608X100
C19,130.4000mm,-97.8000mm,Top,180.000000,1u,CAPC1608X100
C20,147.5000mm,-98.9000mm,Top,0.000000,4.7u,CAPC1608X100
C21,158.4000mm,-78.6000mm,Top,0.000000,4.7u,CAPC1608X100
C22,110.0300mm,-68.8850mm,Top,0.000000,0.1uF,CAPC1608X100
C23,113.0300mm,-68.8850mm,Top,180.000000,0.1uF,CAPC1608X100
C24,110.0300mm,-78.8850mm,Top,0.000000,0.1uF,CAPC1608X100
C25,113.0300mm,-78.8850mm,Top,180.000000,0.1uF,CAPC1608X100
C26,110.0300mm,-88.8850mm,Top,0.000000,0.1uF,CAPC1608X100
C27,113.0300mm,-88.8850mm,Top,180.000000,0.1uF,CAPC1608X100
C28,110.0300mm,-98.9850mm,Top,0.000000,0.1uF,CAPC1608X100
C29,113.0300mm,-98.9850mm,Top,180.000000,0.1uF,CAPC1608X100
C30,110.0300mm,-109.3850mm,Top,0.000000,0.1uF,CAPC1608X100
C31,113.0300mm,-109.3850mm,Top,180.000000,0.1uF,CAPC1608X100
C32,122.6300mm,-68.9850mm,Top,0.000000,0.1uF,CAPC1608X100
C33,122.6300mm,-75.9850mm,Top,0.000000,0.1uF,CAPC1608X100
C34,133.3300mm,-57.5023mm,Top,180.000000,1u,CAPC1608X100
C35,110.0000mm,-58.6000mm,Top,0.000000,0.1uF,CAPC1608X100
D1,180.2000mm,-42.6000mm,Top,0.000000,LED0,LEDM1608X50
D2,180.2000mm,-41.0000mm,Top,0.000000,LED1,LEDM1608X50
D3,129.4000mm,-108.4000mm,Top,180.000000,PMEG10010ELR,SOD3716X117
J3,181.0350mm,-116.0300mm,Top,90.000000,SDCARD_DM3AT-SF-PEJM5,microSD_HC_Hirose_DM3AT-SF-PEJM5
R1,148.3500mm,-54.1848mm,Top,180.000000,10K,RESC1608X55
R2,148.3500mm,-52.5848mm,Top,0.000000,10,RESC1608X55
R3,149.2500mm,-60.7848mm,Top,90.000000,10,RESC1608X55
R4,146.6500mm,-48.2023mm,Top,90.000000,10K,RESC1608X55
R5,144.3000mm,-68.0000mm,Top,180.000000,100,RESC1608X55
R6,143.5000mm,-101.7000mm,Top,180.000000,100,RESC1608X55
R7,118.8300mm,-96.2850mm,Top,0.000000,1K,RESC1608X55
R8,144.3800mm,-57.7023mm,Top,180.000000,10K,RESC1608X55
R9,133.3300mm,-55.8023mm,Top,0.000000,10K,RESC1608X55
R10,144.3800mm,-54.8023mm,Top,180.000000,10K,RESC1608X55
R11,133.3300mm,-54.2023mm,Top,0.000000,10K,RESC1608X55
R12,177.0000mm,-42.6000mm,Top,180.000000,470,RESC1608X55
R13,177.0000mm,-41.0000mm,Top,180.000000,470,RESC1608X55
R14,155.7000mm,-95.9000mm,Top,-90.000000,47K,RESC1608X55
R15,157.3000mm,-95.9000mm,Top,-90.000000,47K,RESC1608X55
R16,158.9000mm,-95.9000mm,Top,-90.000000,47K,RESC1608X55
R17,164.4000mm,-95.9000mm,Top,-90.000000,47K,RESC1608X55
R18,166.0000mm,-95.9000mm,Top,-90.000000,47K,RESC1608X55
R19,162.5000mm,-95.3000mm,Top,-90.000000,0,RESC2012X55
R20,138.2000mm,-67.9000mm,Top,-90.000000,10,RESC1608X55
R21,136.8000mm,-67.9000mm,Top,-90.000000,10,RESC1608X55
R22,139.6000mm,-67.9000mm,Top,90.000000,10,RESC1608X55
R23,150.4000mm,-99.8000mm,Top,-90.000000,10,RESC1608X55
U1,143.8000mm,-84.5000mm,Top,180.000000,ICE40HX4K-TQ144,TSQFP50P2200X2200X160-144
U2,138.9800mm,-55.7773mm,Top,180.000000,SST26VF080A-104I/SN,SOP127P620X175-8
U3,149.2000mm,-48.5023mm,Top,180.000000,APX803S00-29SA-7,SOT95P230X117-3
U4,148.0000mm,-111.9000mm,Top,-90.000000,AP2114HA-3.3,SOT230P700X170-3
U5,139.1000mm,-111.9000mm,Top,-90.000000,AP2114HA-1.2,SOT230P700X170-3
U6,112.8300mm,-93.8850mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
U7,112.8300mm,-104.3850mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
U8,112.8300mm,-63.9100mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
U9,112.8300mm,-73.8850mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
U10,112.8300mm,-83.8850mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
U11,124.9300mm,-72.5850mm,Top,180.000000,74LCX07,TSOP65P640X110-14
U12,124.9300mm,-65.5850mm,Top,180.000000,74VHCT125,TSOP65P640X110-14
U14,112.8000mm,-53.6000mm,Top,180.000000,74LVC8T245,TSOP65P640X120-24
X1,148.3305mm,-57.0023mm,Top,-90.000000,ASE-xxxMHz,XTAL320X250X120-4
